s_m,x_m,y_m,z_m,tx,ty,tz,nx,ny,nz
0.012163132448812758,0.34454845257588257,-0.18398712684905394,1.0321421922416296,0.015310357412769655,0.9998827896088087,0.0,0.9998827896088087,-0.015310357412769655,0.0
0.012265343645861605,0.34454995176931835,-0.18388621700526891,1.0321419389592816,0.008418726272066383,0.9999645618960483,0.0,0.9999645618960484,-0.008418726272066385,0.0
0.012367554842910453,0.34455015303299663,-0.18378514892529735,1.0321407565572838,0.002634087051001206,0.9999965307866862,0.0,0.9999965307866862,-0.002634087051001206,0.0
0.012469766039959298,0.34455048419451917,-0.18368408877511536,1.03213988265362,0.0031266660437612565,0.9999951119677789,0.0,0.999995111967779,-0.003126666043761257,0.0
0.012571977237008146,0.3445507844441008,-0.18358320602221984,1.0321393726098298,-0.0035395441668590348,0.9999937357939253,0.0,0.9999937357939254,0.003539544166859035,0.0
0.012674188434056991,0.34454976961759476,-0.18348220615564959,1.032138622179657,-0.009839179183735383,0.9999515941049298,0.0,0.9999515941049298,0.009839179183735383,0.0
0.012776399631105839,0.34454879681470885,-0.1833812040928013,1.032138396930989,-0.011133152023177325,0.9999380245425358,0.0,0.9999380245425358,0.011133152023177325,0.0
0.012878610828154686,0.34454752120054916,-0.1832802617562368,1.0321380022151005,-0.0183156366697109,0.9998322546574416,0.0,0.9998322546574416,0.0183156366697109,0.0
0.012980822025203531,0.3445450979406125,-0.1831792862619266,1.0321370181965925,-0.02509054862142158,0.9996851826299499,0.0,0.9996851826299499,0.02509054862142158,0.0
0.013083033222252379,0.3445424537558384,-0.18307835906102007,1.032136921781859,-0.030572028619825952,0.9995325662858958,0.0,0.9995325662858958,0.030572028619825952,0.0
0.013185244419301226,0.34453891932518765,-0.1829772804543141,1.0321373714898014,-0.03571790043362884,0.9993619122162968,0.0,0.9993619122162969,0.035717900433628845,0.0
0.013287455616350072,0.3445352264823259,-0.18287614499496654,1.0321384203408286,-0.04040107563201626,0.9991835432430701,0.0,0.9991835432430701,0.04040107563201626,0.0
0.013389666813398919,0.3445307379032265,-0.18277494073795686,1.0321395181611681,-0.0499203118921722,0.9987532039801366,0.0,0.9987532039801366,0.0499203118921722,0.0
0.013491878010447766,0.34452511175941847,-0.1826737802354486,1.0321399103931326,-0.057408414118303636,0.9983507770260017,0.0,0.9983507770260017,0.057408414118303636,0.0
0.013594089207496612,0.3445191055699864,-0.18257265072337858,1.0321408740747684,-0.06300373390757308,0.9980132912510252,0.0,0.9980132912510252,0.06300373390757308,0.0
0.01369630040454546,0.3445123460926898,-0.1824715651558542,1.032141820724945,-0.0707688237383308,0.9974927436260843,0.0,0.9974927436260843,0.0707688237383308,0.0
0.013798511601594305,0.3445047606363088,-0.18237045763191062,1.0321432346900496,-0.07734207360200354,0.9970046156618044,0.0,0.9970046156618044,0.07734207360200354,0.0
0.013900722798643152,0.34449666414446767,-0.1822694116056338,1.0321450319116021,-0.08689068218715236,0.996217852354118,0.0,0.9962178523541181,0.08689068218715237,0.0
0.014002933995692,0.344487137920267,-0.18216840991072902,1.0321464313983941,-0.09852332185327484,0.9951347421585661,0.0,0.9951347421585662,0.09852332185327485,0.0
0.014105145192740845,0.3444766743573008,-0.18206750477460173,1.0321470106206887,-0.10674073991260477,0.9942868873936282,0.0,0.9942868873936284,0.10674073991260478,0.0
0.014207356389789693,0.34446548348171435,-0.18196669944549923,1.0321474734647402,-0.1174756476338547,0.9930757635815137,0.0,0.9930757635815137,0.1174756476338547,0.0
0.01430956758683854,0.3444528360703981,-0.18186598875451443,1.0321473428375754,-0.12920719758720262,0.991617617880835,0.0,0.991617617880835,0.12920719758720262,0.0
0.014411778783887386,0.344439256100548,-0.18176541396201906,1.0321472626202572,-0.13732463798401284,0.9905260944581722,0.0,0.9905260944581722,0.13732463798401284,0.0
0.014513989980936233,0.3444249573689994,-0.181664898974702,1.0321473723777765,-0.1481986494944396,0.9889576129885569,0.0,0.9889576129885569,0.1481986494944396,0.0
0.014616201177985079,0.3444091487890393,-0.18156450217891767,1.032146768150336,-0.16168678054570018,0.9868421276966072,0.0,0.9868421276966072,0.16168678054570018,0.0
0.014718412375033926,0.3443920861158629,-0.1814642719520363,1.0321454315926573,-0.17308418726486718,0.9849070332365691,0.0,0.9849070332365693,0.1730841872648672,0.0
0.014820623572082773,0.34437395575782653,-0.1813642420366708,1.0321443250114661,-0.185272896646224,0.9826871087830132,0.0,0.9826871087830132,0.185272896646224,0.0
0.014922834769131619,0.3443544129485992,-0.1812644535409941,1.0321430524909985,-0.19986945895559521,0.979822534634103,0.0,0.979822534634103,0.19986945895559521,0.0
0.015025045966180466,0.3443332942208036,-0.18116490647797098,1.032142105188979,-0.2128348691659873,0.9770881835674285,0.0,0.9770881835674287,0.21283486916598732,0.0
0.015127257163229314,0.3443110891531767,-0.1810655614668688,1.0321416874396134,-0.22326865846069774,0.974756947217695,0.0,0.9747569472176951,0.22326865846069777,0.0
0.01522946836027816,0.3442878232063294,-0.18096638695641634,1.032141497979602,-0.236260906527714,0.9716896541832185,0.0,0.9716896541832185,0.236260906527714,0.0
0.015331679557327007,0.3442629631090434,-0.1808676295285368,1.0321411551277837,-0.2530336731455882,0.9674574720650265,0.0,0.9674574720650265,0.2530336731455882,0.0
0.015433890754375854,0.344236272186478,-0.1807692850500661,1.032141030547268,-0.2685875078634871,0.9632552883943494,0.0,0.9632552883943494,0.2685875078634871,0.0
0.0155361019514247,0.34420821464057344,-0.18067128103785432,1.0321416973515392,-0.2809538033097074,0.9597212930876392,0.0,0.9597212930876392,0.2809538033097074,0.0
0.015638313148473547,0.34417898929049445,-0.18057361012288042,1.0321425916889038,-0.2945169351105777,0.9556462603563475,0.0,0.9556462603563475,0.2945169351105777,0.0
0.015740524345522394,0.3441481813440235,-0.1804764854641352,1.0321431839555752,-0.30972879382351376,0.9508249440757386,0.0,0.9508249440757386,0.30972879382351376,0.0
0.01584273554257124,0.3441158712508978,-0.18037984639258994,1.0321437969179161,-0.32387910296564226,0.9460984761969395,0.0,0.9460984761969395,0.32387910296564226,0.0
0.015944946739620085,0.34408215165069334,-0.1802836030222876,1.0321447532474983,-0.3396532897292551,0.9405507124956605,0.0,0.9405507124956606,0.3396532897292552,0.0
0.016047157936668933,0.3440466081551259,-0.18018804653064874,1.032146040981556,-0.35527657673449975,0.9347612283486169,0.0,0.934761228348617,0.3552765767344998,0.0
0.01614936913371778,0.34400970067785025,-0.18009297868957097,1.0321472839561954,-0.3685829097386774,0.9295948787770778,0.0,0.9295948787770778,0.3685829097386774,0.0
0.016251580330766627,0.3439714371139147,-0.1799984592950609,1.0321481685574265,-0.3834500496619945,0.9235616164686653,0.0,0.9235616164686653,0.3834500496619945,0.0
0.016353791527815475,0.3439315176924562,-0.1799046704485511,1.032148514007356,-0.39633761138303086,0.918104840311385,0.0,0.918104840311385,0.39633761138303086,0.0
0.01645600272486432,0.34389062496587447,-0.17981126024520838,1.0321486602675187,-0.4099703498862157,0.9120988500234906,0.0,0.9120988500234906,0.4099703498862157,0.0
0.016558213921913166,0.3438479393413077,-0.1797187259821023,1.0321487322143592,-0.42436201506884985,0.9054926174004431,0.0,0.9054926174004432,0.4243620150688499,0.0
0.016660425118962013,0.34380411079626855,-0.17962665856292545,1.0321489620013249,-0.43754563659605306,0.8991962054500423,0.0,0.8991962054500423,0.43754563659605306,0.0
0.01676263631601086,0.3437587428075639,-0.1795354189668486,1.0321491956820474,-0.4510719374661006,0.8924875950009491,0.0,0.8924875950009492,0.45107193746610064,0.0
0.016864847513059708,0.34371218707472734,-0.1794447789682366,1.0321495513287935,-0.4635341610302454,0.886079049271557,0.0,0.8860790492715571,0.4635341610302455,0.0
0.016967058710108555,0.34366430684801386,-0.17935489780510905,1.0321498400635714,-0.4755990365360037,0.8796621831396556,0.0,0.8796621831396556,0.4755990365360037,0.0
0.0170692699071574,0.34361533547605366,-0.17926564343139786,1.0321503636860907,-0.4863936998741824,0.8737397602963388,0.0,0.8737397602963389,0.48639369987418246,0.0
0.017171481104206247,0.3435652946589981,-0.17917703594892262,1.0321507926333646,-0.4969643172242278,0.8677709763560068,0.0,0.8677709763560068,0.4969643172242278,0.0
0.017273692301255094,0.34351419348208834,-0.179089035003364,1.0321511872027842,-0.5088919732711147,0.8608303895310802,0.0,0.8608303895310802,0.5088919732711147,0.0
0.01737590349830394,0.3434617287232577,-0.1790018461061108,1.0321509853137698,-0.5185895904216558,0.8550232960021027,0.0,0.8550232960021027,0.5185895904216558,0.0
0.01747811469535279,0.34340865130202763,-0.1789150225967722,1.0321507683262618,-0.5281326573668577,0.8491618786913491,0.0,0.8491618786913491,0.5281326573668577,0.0
0.017580325892401633,0.3433542894367038,-0.17882909907912287,1.032150243380838,-0.5364698947098467,0.8439194582837902,0.0,0.8439194582837902,0.5364698947098467,0.0
0.01768253708945048,0.34329954685707337,-0.17874339066553036,1.0321494415009096,-0.5465233673682807,0.8374438541899004,0.0,0.8374438541899005,0.5465233673682808,0.0
0.017784748286499327,0.34324314350260676,-0.178658788924086,1.0321482137636122,-0.5550739110615213,0.8318010298496068,0.0,0.8318010298496068,0.5550739110615213,0.0
0.017886959483548175,0.34318664895853607,-0.17857420853248504,1.0321472292627287,-0.5620636205338011,0.8270940009892681,0.0,0.8270940009892681,0.5620636205338011,0.0
0.017989170680597022,0.34312884892412004,-0.17849060091696642,1.0321465785998813,-0.5707860215146392,0.8210988476690793,0.0,0.8210988476690793,0.5707860215146392,0.0
0.01809138187764587,0.3430705790078395,-0.17840723719966745,1.0321462529578598,-0.5775211480470515,0.8163757245033781,0.0,0.8163757245033781,0.5775211480470515,0.0
0.018193593074694713,0.3430114037562871,-0.178324582089252,1.0321459942017122,-0.5842439046794813,0.8115781292302506,0.0,0.8115781292302506,0.5842439046794813,0.0
0.01829580427174356,0.3429518026790451,-0.17824224400085498,1.0321459826773927,-0.5899292978132348,0.8074549049832962,0.0,0.8074549049832962,0.5899292978132348,0.0
0.018398015468792408,0.3428914754278295,-0.1781604323895872,1.032146055068376,-0.5965196185391873,0.8025984953249429,0.0,0.802598495324943,0.5965196185391874,0.0
0.018500226665841255,0.3428305747425316,-0.17807913560271818,1.0321468303525811,-0.6016631968342137,0.7987498967607033,0.0,0.7987498967607033,0.6016631968342137,0.0
0.018602437862890103,0.34276919854148796,-0.17799810128664553,1.032147430161446,-0.6083720689323056,0.7936519550426535,0.0,0.7936519550426535,0.6083720689323056,0.0
0.018704649059938946,0.3427069496607882,-0.1779178604672732,1.0321479170925645,-0.6134910099690619,0.7897017036116487,0.0,0.7897017036116488,0.613491009969062,0.0
0.018806860256987794,0.34264457922350333,-0.17783768803508,1.0321481198488847,-0.6189908144424043,0.7853982248744448,0.0,0.7853982248744448,0.6189908144424043,0.0
